GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC01_EST_VC31,HC01_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC01_EST_VC38,HC01_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC01_EST_VC51,HC01_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63,HC01_EST_VC64,HC01_MOE_VC64,HC01_EST_VC65,HC01_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC01_EST_VC71,HC01_MOE_VC71,HC01_EST_VC74,HC01_MOE_VC74,HC01_EST_VC75,HC01_MOE_VC75,HC01_EST_VC76,HC01_MOE_VC76,HC01_EST_VC77,HC01_MOE_VC77,HC01_EST_VC78,HC01_MOE_VC78
9600000US1727570,1727570,"Mundelein Consolidated High School District 120, Illinois",8550,436,1.2,0.6,1.8,0.8,61.8,3.0,25.8,2.7,6.7,2.1,1.3,0.7,1.4,1.2,243600,13054,20.9,2.7,4.4,1.6,16.5,2.4,0.4,0.3,78.7,2.7,1.4,0.7,2.9,1.0,4.2,1.7,6.7,1.9,17.9,3.1,14.5,2.7,24.3,3.1,28.1,3.2,102500,6569,43.5,4.2,23.4,3.0,11.9,3.0,21.0,2.9,0.2,0.3,0.0,0.3,0.0,0.3,0.3,0.3,1.2,0.7,2.8,1.5,19.1,2.9,25.8,3.1,20.2,3.1,11.1,2.2,19.6,2.9,2020,83,2.4,0.9,0.0,0.3,0.0,0.3,2.4,0.9,5.8,1.8,0.0,0.3,0.1,0.1,5.7,1.9,6.7,1.9,0.0,0.3,1.3,0.8,5.5,1.7,17.9,3.1,1.2,0.7,5.6,1.7,11.1,2.5,66.9,4.2,34.6,3.6,22.7,2.8,9.6,2.0,0.2,0.3,1.3,0.7,0.9,0.6,97.0,1.2,0.9,0.8,7033,259
9600000US1727740,1727740,"Nashville Community High School District 99, Illinois",1265,138,8.1,2.3,42.1,5.8,43.6,6.5,4.8,2.5,1.2,1.2,0.2,0.3,0.0,2.1,99700,9213,18.8,4.8,2.4,2.2,16.4,4.5,0.2,0.4,81.0,4.9,5.5,4.2,6.5,2.7,7.4,2.9,15.9,4.4,25.5,5.1,14.0,4.4,15.3,4.6,10.0,3.4,64176,4890,61.4,6.2,18.3,4.9,7.3,3.1,9.9,3.4,3.1,4.0,0.0,2.1,1.4,1.0,4.8,2.2,14.5,4.9,16.6,4.6,39.2,6.2,15.9,4.7,4.3,2.0,2.7,1.8,0.6,1.0,1131,56,5.5,2.3,0.0,2.1,0.2,0.3,5.3,2.3,10.7,3.2,0.0,2.1,1.8,1.3,8.9,2.9,15.9,4.4,2.2,1.5,8.8,3.4,4.9,2.7,25.5,5.1,10.4,3.6,13.1,4.1,2.0,1.4,39.3,6.3,31.1,6.0,6.0,2.7,2.2,1.6,3.1,4.0,9.4,2.7,19.6,4.8,70.9,5.2,0.1,0.1,2174,226
9600000US1728200,1728200,"New Trier Township High School District 203, Illinois",12133,434,1.1,0.4,0.4,0.3,7.7,1.3,16.4,1.8,21.4,1.9,18.9,2.0,34.1,2.2,789100,29205,27.9,2.1,3.2,0.8,24.7,2.1,1.6,1.0,70.5,2.2,1.1,0.5,2.3,0.8,2.2,0.8,4.4,1.1,6.7,1.3,8.7,1.5,15.2,1.7,59.4,2.6,183268,11805,17.2,1.8,20.5,2.3,14.9,1.7,47.1,3.0,0.4,0.4,0.1,0.1,0.3,0.2,0.2,0.1,0.4,0.3,0.4,0.2,5.3,1.3,5.9,1.3,8.2,1.3,12.0,1.7,67.3,2.7,3736,120,2.4,0.7,0.0,0.2,0.0,0.2,2.4,0.7,2.7,0.9,0.0,0.2,0.1,0.1,2.7,0.9,4.4,1.1,0.2,0.2,0.2,0.2,4.0,1.0,6.7,1.3,0.1,0.1,1.1,0.5,5.5,1.2,83.3,2.0,38.0,2.4,23.3,2.3,22.1,2.1,0.4,0.4,0.8,0.4,0.5,0.3,98.5,0.5,0.2,0.2,"10,000+",***
9600000US1728260,1728260,"Newark Community High School District 18, Illinois",805,90,4.1,3.2,3.4,2.3,69.2,6.3,20.4,5.5,1.5,1.4,0.9,1.4,0.6,0.7,228000,11168,23.5,6.3,7.0,4.5,16.5,5.2,0.2,0.5,76.3,6.2,2.0,1.6,5.2,2.7,1.6,1.9,8.3,3.3,16.1,4.5,21.1,5.1,27.1,6.1,18.5,5.1,93450,6921,42.2,6.7,26.1,6.4,10.4,4.0,20.9,5.5,0.4,0.6,0.0,3.4,0.5,0.6,0.4,0.6,2.1,1.7,5.5,3.5,23.2,5.8,29.9,5.6,19.3,5.5,9.8,3.8,9.3,4.0,1843,86,5.2,2.8,0.0,3.4,0.2,0.5,5.0,2.8,3.2,2.5,0.0,3.4,0.0,3.4,3.2,2.5,8.3,3.3,0.0,3.4,3.6,2.9,4.7,2.3,16.1,4.5,1.7,1.3,4.3,2.2,10.1,4.3,66.7,5.7,29.1,5.9,31.6,6.9,6.1,3.0,0.4,0.6,2.6,2.9,0.9,0.9,95.4,3.3,1.1,1.3,4956,446
9600000US1728530,1728530,"Niles Township Community High School District 219, Illinois",15730,636,2.4,0.7,3.4,1.1,50.3,2.9,33.1,2.8,7.5,1.3,1.8,0.6,1.5,0.5,283200,6772,17.9,1.6,3.3,1.0,14.5,1.5,0.8,0.5,81.3,1.6,2.5,0.8,5.8,1.3,4.6,1.2,10.0,1.5,17.2,2.3,15.3,1.6,23.1,1.9,21.5,2.2,89218,5078,25.1,2.0,26.5,2.2,14.8,1.9,33.2,2.4,0.4,0.3,0.0,0.2,0.4,0.3,0.8,0.3,1.6,0.5,2.7,0.8,17.8,1.9,22.6,2.2,19.1,1.9,15.4,1.9,19.8,1.8,2109,59,6.0,1.3,0.0,0.2,0.1,0.1,5.9,1.3,6.5,1.5,0.1,0.1,0.1,0.1,6.4,1.5,10.0,1.5,0.4,0.3,0.3,0.2,9.3,1.5,17.2,2.3,0.9,0.5,4.2,1.0,12.2,1.8,59.9,2.6,25.8,2.1,22.4,2.0,11.7,1.4,0.4,0.3,0.9,0.4,1.7,0.6,96.5,0.8,1.0,0.4,6469,131
9600000US1729010,1729010,"Northfield Township High School District 225, Illinois",15756,501,1.9,0.6,2.2,0.8,18.5,1.8,25.7,2.0,31.9,2.1,12.4,1.4,7.3,1.2,512500,17612,24.7,2.1,3.1,0.8,21.7,2.0,0.6,0.3,74.6,2.2,1.4,0.6,4.2,1.1,4.3,1.0,5.0,1.1,10.2,1.4,11.0,1.7,20.0,2.0,44.0,2.4,134957,6541,21.0,1.7,23.6,2.1,16.2,2.0,38.9,2.3,0.4,0.3,0.1,0.1,0.2,0.2,0.3,0.2,1.7,0.6,2.1,0.8,12.2,1.6,12.7,1.6,15.1,1.6,15.2,1.6,40.4,2.1,2685,65,3.2,1.0,0.0,0.2,0.0,0.2,3.2,1.0,6.3,1.2,0.1,0.1,0.2,0.2,6.0,1.2,5.0,1.1,0.1,0.1,0.4,0.3,4.5,1.0,10.2,1.4,0.7,0.4,2.3,0.6,7.2,1.2,74.9,2.0,36.3,2.3,23.1,2.0,15.5,1.6,0.4,0.3,1.2,0.5,2.0,0.7,95.7,0.9,1.1,0.6,8783,294
9600000US1729220,1729220,"Oak Lawn Community High School District 229, Illinois",7472,413,5.0,1.6,14.7,3.1,71.2,3.4,8.2,1.9,0.7,0.5,0.1,0.2,0.1,0.1,169900,5353,18.5,2.4,3.6,1.3,14.9,2.2,0.2,0.3,81.2,2.4,3.3,1.5,7.8,2.1,9.7,2.4,12.9,2.6,21.4,2.7,18.4,2.7,16.6,2.3,9.9,2.1,68893,4693,38.8,3.6,26.5,3.3,13.4,2.4,20.7,3.0,0.6,0.4,0.0,0.4,0.5,0.5,1.4,0.8,6.6,1.7,8.5,2.2,31.8,3.0,28.4,3.0,13.3,2.3,5.0,1.6,4.6,1.4,1520,50,7.5,2.0,0.0,0.4,0.1,0.2,7.4,2.0,12.7,2.6,0.2,0.4,1.0,0.6,11.4,2.4,12.9,2.6,0.7,0.6,3.3,1.3,8.9,2.1,21.4,2.7,3.2,1.0,7.0,1.8,11.1,2.2,44.9,3.3,25.4,3.1,14.3,2.2,5.3,1.8,0.6,0.4,3.3,1.1,5.8,1.7,89.7,2.2,1.2,0.7,4234,188
9600000US1729280,1729280,"Oak Park and River Forest District 200, Illinois",11876,438,1.4,0.6,4.0,1.2,27.5,2.5,34.2,2.4,20.8,1.9,7.6,1.2,4.5,1.0,383300,12183,23.5,2.2,4.0,1.0,19.4,2.0,0.5,0.3,76.0,2.2,1.1,0.6,2.8,0.8,2.4,0.8,5.8,1.3,10.7,1.7,12.9,1.9,20.1,2.2,44.1,2.5,131646,6650,32.2,2.3,27.1,2.0,16.7,2.3,23.6,2.2,0.3,0.3,0.0,0.2,0.2,0.2,0.3,0.2,1.4,0.6,2.0,0.7,9.6,1.4,15.9,2.1,16.1,1.5,15.7,1.8,38.8,2.4,2642,71,3.2,0.8,0.0,0.2,0.0,0.2,3.2,0.8,2.9,0.9,0.0,0.2,0.3,0.2,2.5,0.8,5.8,1.3,0.1,0.1,0.7,0.5,5.0,1.1,10.7,1.7,0.9,0.4,2.4,0.8,7.5,1.4,77.1,2.1,37.8,2.4,25.4,2.1,14.0,2.0,0.3,0.3,0.7,0.4,1.7,0.6,96.9,0.8,0.8,0.4,9723,310
9600000US1729730,1729730,"Ohio Community High School District 505, Illinois",105,26,12.4,6.1,41.9,11.2,45.7,12.0,0.0,22.8,0.0,22.8,0.0,22.8,0.0,22.8,95000,13089,8.6,6.9,0.0,22.8,8.6,6.9,0.0,22.8,91.4,6.9,2.9,3.6,8.6,5.7,6.7,6.7,11.4,6.0,22.9,12.8,23.8,10.8,19.0,10.7,4.8,4.5,66875,40712,73.3,12.2,12.4,9.8,4.8,3.9,9.5,6.7,0.0,22.8,0.0,22.8,0.0,22.8,6.7,5.6,19.0,10.4,25.7,9.7,30.5,10.1,16.2,9.6,1.9,2.9,0.0,22.8,0.0,22.8,991,97,9.5,6.8,0.0,22.8,0.0,22.8,9.5,6.8,8.6,7.0,1.9,2.8,1.9,2.8,4.8,4.6,11.4,6.0,1.9,2.5,7.6,5.0,1.9,2.3,22.9,12.8,13.3,8.8,9.5,9.9,0.0,22.8,47.6,14.6,40.0,12.5,7.6,8.1,0.0,22.8,0.0,22.8,12.4,8.9,19.0,8.7,68.6,10.1,0.0,22.8,2050,370
9600000US1729790,1729790,"O'Fallon Township High School District 203, Illinois",8191,443,2.6,1.2,9.2,2.2,71.0,3.6,12.7,2.2,2.4,0.9,0.3,0.3,1.7,1.0,208900,8365,16.2,2.9,3.9,1.5,12.3,2.4,0.8,0.8,83.1,2.9,2.1,1.3,2.8,1.3,2.7,1.1,6.4,1.7,16.7,3.0,17.2,2.8,26.1,2.4,26.0,2.9,102423,4766,53.7,3.8,26.4,3.2,8.7,2.0,10.1,1.9,1.1,1.0,0.0,0.3,0.0,0.3,1.2,0.7,3.7,1.6,8.9,2.0,24.0,3.1,29.6,3.3,17.5,2.4,7.5,1.7,7.5,1.8,1697,50,2.8,1.3,0.0,0.3,0.0,0.3,2.8,1.3,3.7,1.3,0.1,0.2,0.1,0.1,3.5,1.3,6.4,1.7,0.0,0.3,1.5,0.7,4.9,1.5,16.7,3.0,2.7,1.1,7.7,2.5,6.4,1.8,69.3,3.4,47.4,3.5,16.9,2.7,5.1,1.3,1.1,1.0,2.7,1.4,7.5,1.9,89.5,2.5,0.4,0.4,4658,183
